Deck,Color,Cost,Value
3,Black,RRRRRRRKKK,5
3,Blue,WWWWWWWBBB,5
3,Green,BBBBBBBGGG,5
3,Red,GGGGGGGRRR,5
3,White,WWWKKKKKKK,5
3,Black,RRRRRRR,4
3,Blue,WWWWWWW,4
3,Green,BBBBBBB,4
3,Red,GGGGGGG,4
3,White,KKKKKKK,4
3,Black,GGGRRRRRRKKK,4
3,Blue,WWWWWWBBBKKK,4
3,Green,WWWBBBBBBGGG,4
3,Red,BBBGGGGGGRRR,4
3,White,WWWRRRKKKKKK,4
3,Black,WWWBBBGGGGGRRR,3
3,Blue,WWWGGGRRRKKKKK,3
3,Green,WWWWWBBBRRRKKK,3
3,Red,WWWBBBBBGGGKKK,3
3,White,BBBGGGRRRRRKKK,3
2,Black,KKKKKK,3
2,Blue,BBBBBB,3
2,Green,GGGGGG,3
2,Red,RRRRRR,3
2,White,WWWWWW,3
2,Black,WWWWW,2
2,Blue,BBBBB,2
2,Green,GGGGG,2
2,Red,KKKKK,2
2,White,RRRRR,2
2,Black,WGGGGRR,2
2,Blue,WWRKKKK,2
2,Green,WWWWBBK,2
2,Red,WBBBBGG,2
2,White,GRRRRKK,2
2,Black,GGGGGRRR,2
2,Blue,WWWWWBBB,2
2,Green,BBBBBGGG,2
2,Red,WWWKKKKK,2
2,White,RRRRRGGG,2
2,Black,WWWBBGG,1
2,Blue,BBGGRRR,1
2,Green,WWBBBKK,1
2,Red,WWRRKKK,1
2,White,GGGRRKK,1
2,Black,WWWGGGKK,1
2,Blue,BBGGGKKK,1
2,Green,WWWGGRRR,1
2,Red,BBBRRKKK,1
2,White,WWBBBRRR,1
1,Black,BBBB,1
1,Blue,RRRR,1
1,Green,KKKK,1
1,Red,WWWW,1
1,White,GGGG,1
1,Black,GGR,
1,Black,GGG,
1,Blue,WKK,
1,Blue,KKK,
1,Green,WWB,
1,Green,RRR,
1,Red,BBG,
1,Red,WWW,
1,White,RRK,
1,White,BBB,
1,Black,WBGR,
1,Black,WWGG,
1,Blue,WGRK,
1,Blue,GGKK,
1,Green,WBRK,
1,Green,BBRR,
1,Red,WBGK,
1,Red,WWRR,
1,White,BGRK,
1,White,BBKK,
1,Black,WBBGR,
1,Black,WWBBR,
1,Black,GRRRK,
1,Blue,WGRRK,
1,Blue,WGGRR,
1,Blue,BGGGR,
1,Green,WBRKK,
1,Green,BRRKK,
1,Green,WBBBG,
1,Red,WWBGK,
1,Red,WWGKK,
1,Red,WRKKK,
1,White,BGGRK,
1,White,BBGGK,
1,White,WWWBK,
